id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类
8064457,湖北,本科批,物理,化,A00105,北京大学,37,地球物理学类,(地球物理学、地理信息科学(遥感与地理信息系统)、空间科学与技术),,5000,2.0,,,,691.0,83.0,693.0,85.0,2.0,,,2.0,679,72,2.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064458,湖北,本科批,物理,化,A00105,北京大学,38,地质学类,(地质学、地球化学),,5000,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064459,湖北,本科批,物理,化,A00105,北京大学,39,生物科学类,(生物科学、生物技术),,5300,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064460,湖北,本科批,物理,化,A00105,北京大学,40,电子信息类,(电子信息科学与技术、微电子科学与工程),,5300,1.0,,,,691.0,83.0,693.0,85.0,2.0,,,2.0,679,72,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064461,湖北,本科批,物理,化,A00105,北京大学,41,计算机类,(计算机科学与技术、智能科学与技术),,5300,1.0,,,,691.0,83.0,693.0,85.0,2.0,,,2.0,678,78,2.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064462,湖北,本科批,物理,化,A00105,北京大学,42,环境科学与工程类,(环境科学、环境工程、环境科学(环境管理)),,5000,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064463,湖北,本科批,物理,化,A00105,北京大学,43,环境科学,(环境、健康、生态、地理与资源环境),,5000,2.0,新增,,,691.0,83.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064464,湖北,本科批,物理,化,A00105,北京大学,44,信息管理与信息系统,,,5000,2.0,,,,691.0,83.0,693.0,85.0,2.0,,,2.0,682,58,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1.0,,,
8064486,湖北,本科批,物理,化,A00306,清华大学,14,工科试验班,(为先书院；交叉工程),,5000,3.0,新增,,,690.0,98.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064487,湖北,本科批,物理,化,A00306,清华大学,15,工科试验班,(秀钟书院；交叉工程),,5000,1.0,新增,,,690.0,98.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064488,湖北,本科批,物理,化,A00306,清华大学,16,工科试验班,(能源与电气类；建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化(能源互联网国际班)、能源与动力工程),,5000,3.0,,,,690.0,98.0,693.0,85.0,3.0,,,3.0,682,58,16.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064489,湖北,本科批,物理,化,A00306,清华大学,17,工科试验班,(笃实书院；交叉工程),,5000,4.0,新增,,,690.0,98.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064490,湖北,本科批,物理,化,A00306,清华大学,18,工科试验班,(智能制造与装备类；机械工程、机械工程(实验班)、车辆工程、车辆工程(车身方向)),,5000,8.0,,,,690.0,98.0,693.0,85.0,12.0,,,12.0,676,101,7.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064491,湖北,本科批,物理,化,A00306,清华大学,19,理科试验班,(化生类；化学、生物科学、药学、高分子材料与工程、化学工程与工业生物工程),,5000,1.0,,,,690.0,98.0,693.0,85.0,1.0,,,1.0,676,101,1.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064492,湖北,本科批,物理,化,A00306,清华大学,20,理科试验班,(数理类；数学与应用数学、物理学、数理基础科学、工程物理、工程物理(能源实验班)),,5000,3.0,,,,690.0,98.0,693.0,85.0,3.0,,,3.0,676,101,3.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8064493,湖北,本科批,物理,化,A00306,清华大学,21,电子信息类,(电子信息科学与技术),,5000,4.0,,,,690.0,98.0,693.0,85.0,4.0,,,4.0,679,72,5.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064494,湖北,本科批,物理,化,A00306,清华大学,22,自动化类,(自动化(含信息管理信息系统方向)),,5000,3.0,,,,690.0,98.0,693.0,85.0,3.0,,,3.0,678,78,3.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064495,湖北,本科批,物理,化,A00306,清华大学,23,计算机类,(计算机科学与技术、计算机科学与技术(计算机科学实验班)),,5000,1.0,,,,690.0,98.0,693.0,85.0,2.0,,,2.0,679,72,3.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064496,湖北,本科批,物理,化,A00306,清华大学,24,土木类,(土木、水利与海洋工程),,5000,8.0,新增,,,690.0,98.0,693.0,85.0,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064497,湖北,本科批,物理,化,A00306,清华大学,25,临床医学类,(卓越医师科学家；临床医学(卓越医师科学家))(学制：八年医),,5000,2.0,,,,690.0,98.0,693.0,85.0,2.0,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,,1.0,,
8064498,湖北,本科批,物理,化,A00306,清华大学,26,临床医学类,(协和；临床医学(协和))(学制：八年医),,5000,2.0,,,,690.0,98.0,693.0,85.0,2.0,,,2.0,677,87,2.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,,1.0,,
